amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(60, 20)",low,True,0.012,86,True,vs_right,mc_b,4.251700680272109e-05,1176,32,False,32,0,840,304,1.0,0.09523809523809523,0.17391304347826084,0.0,0.9047619047619048
"(60, 20)",low,True,0.012,86,True,vs_left,mc_b,4.251700680272109e-05,1176,50,False,50,0,840,286,1.0,0.1488095238095238,0.2590673575129534,0.0,0.8511904761904762
"(60, 20)",low,True,0.012,86,True,difference,mc_b,4.251700680272109e-05,1176,0,False,0,0,840,336,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.012,86,False,baseline,mc_b,1.3842746400885937e-05,3612,0,False,0,0,3276,336,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.012,86,False,vs_right,mc_b,1.3842746400885937e-05,3612,36,False,18,18,3258,318,0.5,0.05357142857142857,0.09677419354838708,0.005494505494505495,0.9464285714285714
"(60, 20)",low,True,0.012,86,False,vs_left,mc_b,1.3842746400885937e-05,3612,27,False,11,16,3260,325,0.4074074074074074,0.03273809523809524,0.06060606060606061,0.004884004884004884,0.9672619047619048
"(60, 20)",low,True,0.012,86,False,difference,mc_b,1.3842746400885937e-05,3612,0,False,0,0,3276,336,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.012,64,True,baseline,mc_b,6.613756613756614e-05,756,0,False,0,0,540,216,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.012,64,True,vs_right,mc_b,6.613756613756614e-05,756,28,False,28,0,540,188,1.0,0.12962962962962962,0.22950819672131148,0.0,0.8703703703703703
"(60, 20)",low,True,0.012,64,True,vs_left,mc_b,6.613756613756614e-05,756,42,True,42,0,540,174,1.0,0.19444444444444445,0.32558139534883723,0.0,0.8055555555555556
"(60, 20)",low,True,0.012,64,True,difference,mc_b,6.613756613756614e-05,756,0,False,0,0,540,216,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.012,64,False,baseline,mc_b,1.860119047619048e-05,2688,0,False,0,0,2472,216,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.012,64,False,vs_right,mc_b,1.860119047619048e-05,2688,29,False,15,14,2458,201,0.5172413793103449,0.06944444444444445,0.12244897959183675,0.0056634304207119745,0.9305555555555556
"(60, 20)",low,True,0.012,64,False,vs_left,mc_b,1.860119047619048e-05,2688,31,False,16,15,2457,200,0.5161290322580645,0.07407407407407407,0.12955465587044535,0.006067961165048544,0.9259259259259259
"(60, 20)",low,True,0.012,64,False,difference,mc_b,1.860119047619048e-05,2688,0,False,0,0,2472,216,1.0,0.0,0.0,0.0,1.0
